keys,zh_TW,en
c_BlueBerry,藍莓,BlueBerry
AE9969_D0B792,"我緩緩睜開眼，發現四周伸手不見五指，只有正前方一張孤零零的辦公桌，以及桌後椅子上一個穿著寬大皮大衣、正努力推著眼鏡的藍色史萊姆。","I slowly opened my eyes and found myself in complete darkness. In front of me was a lonely desk, and sitting behind it was a blue slime wearing a large leather coat, struggling to adjust its glasses."
AE9969_645803,"诶？這裡是哪裡？我記得我今天下班之後很累，一回家就睡著了...難道我工作太操，直接睡死了嗎？！","Huh? Where am I? I remember being really tired after work today, and I just went home and fell asleep... Did I work myself to death?!"
AE9969_8F3A00,"史萊姆發出「噗滋」的果凍摩擦聲，調整了一下領帶，語氣軟糯卻帶著一種老練的推銷感。","The slime made a 'puzz' sound as it adjusted its tie, speaking in a soft yet seasoned sales tone."
AE9969_DBE5CC,"哎呀，別這麼緊張嘛，貴客！自我介紹一下，我是您的專屬服務員——藍莓。","Oh, don't be so nervous, dear customer! Let me introduce myself, I am your exclusive service attendant - BlueBerry."
AE9969_18D052,"歡迎來到圓夢公司！在這裡，我們秉持著『只要夢想夠大，現實就是笑話』的宗旨，能夠實現您任何願望喔！","Welcome to Dream Fulfillment Inc.! Here, we uphold the principle of 'As long as the dream is big enough, reality is a joke,' and we can fulfill any of your wishes!"
AE9969_EFA782,"聽到實現願望，我眼睛一亮，把剛才的驚恐拋到九霄雲外。","Hearing about fulfilling wishes, my eyes lit up, and I threw away the previous panic."
AE9969_D8382F,"任何願望？真的嗎！那...我要學會毀天滅地的魔法、成為統治世界的皇帝、環遊全宇宙、長生不老，還要有花不完的錢！還有、還有...","Any wish? Really?! Then... I want to learn world-destroying magic, become the emperor who rules the world, travel the entire universe, be immortal, and have endless money! And also, also..."
AE9969_57DE8E,"等等等等！停！貴客，冷靜一點！我看了一下您的帳戶餘額...您的『圓夢幣』嚴重超支啊！您這是在點滿漢全席，但口袋裡只有買茶葉蛋的錢好嗎？麻煩您把願望清單『精簡』一下，好嗎？","Wait, wait, wait! Stop! Dear customer, calm down! I took a look at your account balance... Your 'Dream Coins' are seriously overdrawn! You're trying to order the full banquet, but you only have enough money for a tea egg in your pocket, okay? Please 'simplify' your wish list, alright?"
AE9969_0CF9F8,"藍莓急忙揮動它那半透明的果凍手臂，差點把皮大衣甩掉。","BlueBerry hurriedly waved its translucent jelly arms, almost throwing off its leather coat."
AE9969_AF9C4B,"深吸一口氣，{{Persistence.data.player_name}}認真地思考了三秒鐘。","Taking a deep breath, {{Persistence.data.player_name}} seriously thought for three seconds."
AE9969_D5AB4C,"好的，我明白了。那我要學會魔法、成為皇帝、環遊世界、長生不老、擁有花不完的錢...還有...","Okay, I understand. Then I want to learn magic, become an emperor, travel the world, be immortal, have endless money... and also..."
AE9969_A1A2BF,"藍莓整隻史萊姆氣得縮成了一團，豆豆眼瞪得老大。","BlueBerry shrank into a ball, its beady eyes wide with anger."
AE9969_333018,"等等等等！這不是完全沒變嗎！只是語速變快而已吧！嘖...現在的年輕人真是貪心...算了我來看看...","Wait, wait, wait! This hasn't changed at all! You just spoke faster, didn't you?! Tsk... Young people these days are really greedy... Alright, let me see..."
AE9969_58BFF6,"藍莓一臉嚴肅地拿起一隻巨大的鵝毛筆，在桌上的一張破舊羊皮紙上瘋狂地畫來畫去，發出「刷刷刷」的聲音，偶爾還自言自語地嘟囔著：「魔法...皇帝...無人...嗯，這樣應該行...」。","BlueBerry seriously picked up a huge quill pen and frantically scribbled on a piece of old parchment on the desk, making 'brush brush brush' sounds, occasionally muttering to itself: 'Magic... Emperor... Uninhabited... Hmm, this should work...'."
AE9969_38BBFE,"藍莓滿意地放下筆，身體興奮地抖動了兩下。","BlueBerry happily put down the pen, its body shaking with excitement."
AE9969_0E65C1,"好了！綜合您所有的願望，我運用我高超的邏輯（以及極其有限的預算），為您量身打造了這套最適合您的黃金方案！","Alright! Combining all your wishes, I have used my superb logic (and extremely limited budget) to tailor this golden plan that suits you best!"
AE9969_1EC2EF,"聽好了！我接下來會送您去一個充滿魔法的世界，並降落在一座無人島上！在那裡，您就是唯一的、至高無上的島主（皇帝）！","Listen up! I will send you to a magical world, and you will land on an uninhabited island! There, you will be the one and only supreme island lord (emperor)!"
AE9969_31E6C7,"而且因為島上空無一人，您根本沒地方花錢，所以變相達成了『錢花不完』的成就！","And since the island is uninhabited, you basically have nowhere to spend money, so it's a roundabout way to achieve the 'endless money' goal!"
AE9969_656339,"哦，對了，為了體現我的專業服務，我再友情贈送您一艘破...啊不，是一艘船，讓您可以隨時出發去環遊世界！","Oh, by the way, to show my professional service, I will also give you a... ah no, a boat, so you can set off to travel the world anytime!"
AE9969_9D2D3C,"{{Persistence.data.player_name}}嘴角抽搐，一臉難以置信。","BlueBerry twitched the corner of his mouth, looking incredulous."
AE9969_23C02F,"等等等等...你這圓夢也太陽春了吧！這根本就是把我流放到荒島而已吧？！","Wait, wait, wait... Your dream fulfillment is way too basic! This is basically just exiling me to a deserted island, isn't it?!"
AE9969_2AC8F4,"藍莓完全無視我的抗議，開心地揮著手，整隻史萊姆開始發出炫目的白光。","BlueBerry completely ignored my protests, happily waving its hand, and the whole slime started emitting dazzling white light."
AE9969_A7E85C,"好囉！貴客您的夢想即將啟航！雖然預算寒酸了點，但前途是光明的！祝您圓夢愉快，記得給五星好評喔～","Alright! Dear customer, your dream is about to set sail! Although the budget is a bit tight, the future is bright! Enjoy your dream fulfillment, and remember to give us a five-star review~"
AE9969_5D6E32,"等... 等一下！我還沒同意啊！你這黑心公司——！","Wait... Wait a minute! I haven't agreed yet! You black-hearted company—!"
AE9969_4EC3EA,"我話還沒說完，眼前的一切像融化的奶油一樣消失不見，黑暗被刺眼的陽光取代。","Before I could finish my sentence, everything in front of me disappeared like melting butter, and the darkness was replaced by blinding sunlight."
AE9969_06520B,"{{Persistence.data.player_name}}猛地坐起身，發現身下不再是辦公椅，而是細軟的沙子。耳邊傳來陣陣海浪聲，海風帶著鹹鹹的味道吹過臉頰。","{{Persistence.data.player_name}} suddenly sat up and found that he was no longer on an office chair, but on soft sand. The sound of waves crashing and the salty sea breeze brushed against his cheeks."
AE9969_3B947F,"茫然地環顧四周，除了幾棵樹、沙子、一望無際的碧藍大海，以及岸邊停著的一艘看起來快要散架的小木船外，這座島...","The island, looking around in confusion, there were only a few trees, sand, an endless expanse of blue sea, and a small wooden boat that looked like it was about to fall apart on the shore..."
AE9969_0697E2,"真的空無一人。","There really was no one else here."
